source,destination
/docs/mobile-services/android/messaging-android/inapp-messaging/in-apps-ts.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/messaging-main/messaging/in-apps-ts.md
/docs/mobile-services/android/messaging-android/push-messaging/push-messaging.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/messaging-main/push-messaging/push-messaging.md
/docs/mobile-services/android/messaging-android/push-messaging/t-mob-impl-push-deeplinking-android-4x.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/messaging-main/push-messaging/t-mob-impl-push-deeplinking-android-4x.md
/docs/mobile-services/android/messaging-android/push-messaging/c-set-up-rich-push-notif-android.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/messaging-main/push-messaging/c-set-up-rich-push-notif-android.md
/docs/mobile-services/android/messaging-android/push-messaging/c-troubleshooting-push-messaging.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/messaging-main/push-messaging/c-troubleshooting-push-messaging.md
/docs/mobile-services/android/location/location.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/location/location.md
/docs/mobile-services/android/location/geo-poi.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/location/geo-poi.md
/docs/mobile-services/android/location/beacon.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/location/beacon.md
/docs/mobile-services/android/target-android/target-main.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/target-main/target-main.md
/docs/mobile-services/android/target-android/target.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/target-main/target.md
/docs/mobile-services/android/target-android/c-target-methods.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/target-main/c-target-methods.md
/docs/mobile-services/android/target-android/c-mob-target-prefetch-android.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/target-main/c-mob-target-prefetch-android.md
/docs/mobile-services/android/target-android/c-mob-target-preview-android.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/target-main/c-mob-target-preview-android.md
/docs/mobile-services/android/experience-cloud-android/c-marketing-cloud.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/c-marketing-cloud/c-marketing-cloud.md
/docs/mobile-services/android/experience-cloud-android/mcvid.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/c-marketing-cloud/mcvid.md
/docs/mobile-services/android/experience-cloud-android/mc-methods.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/c-marketing-cloud/mc-methods.md
/docs/mobile-services/android/audience-manager-android/audience-manager.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/audience-manager/audience-manager.md
/docs/mobile-services/android/audience-manager-android/audiencemgmt.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/audience-manager/audiencemgmt.md
/docs/mobile-services/android/audience-manager-android/c-audience-manager-methods.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/audience-manager/c-audience-manager-methods.md
/docs/mobile-services/android/wearables-android/wearables.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/wearables/wearables.md
/docs/mobile-services/android/wearables-android/android-wearable.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/wearables/android-wearable.md
/docs/mobile-services/android/wearables-android/c-android-wearables--additional-notes.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/wearables/c-android-wearables--additional-notes.md
/docs/mobile-services/android/sdk-reference-android/reference.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/reference/reference.md
/docs/mobile-services/android/sdk-reference-android/app-ids.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/reference/app-ids.md
/docs/mobile-services/android/sdk-reference-android/hybrid-app.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/reference/hybrid-app.md
/docs/mobile-services/android/sdk-reference-android/widgets.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/reference/widgets.md
/docs/mobile-services/android/gdpr-privacy-android/c-mob-privacy-gdpr-android.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/c-mob-privacy-gdpr-android/c-mob-privacy-gdpr-android.md
/docs/mobile-services/android/gdpr-privacy-android/c-mob-gdpr-ret-stored-ids-android.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/c-mob-privacy-gdpr-android/c-mob-gdpr-ret-stored-ids-android.md
/docs/mobile-services/android/gdpr-privacy-android/privacy.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/c-mob-privacy-gdpr-android/privacy.md
/docs/mobile-services/android/phonegap-android/phonegap.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/phonegap/phonegap.md
/docs/mobile-services/android/phonegap-android/phonegap-methods.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/android/phonegap/phonegap-methods.md
/docs/mobile-services/ios/overview.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/overview.md
/docs/mobile-services/ios/rel-notes.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/rel-notes.md
/docs/mobile-services/ios/getting-started-ios/getting-started.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/getting-started/getting-started.md
/docs/mobile-services/ios/getting-started-ios/requirements.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/getting-started/requirements.md
/docs/mobile-services/ios/getting-started-ios/dev-qs.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/getting-started/dev-qs.md
/docs/mobile-services/ios/getting-started-ios/proc-rules.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/getting-started/proc-rules.md
/docs/mobile-services/ios/getting-started-ios/swift-integration.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/getting-started/swift-integration.md
/docs/mobile-services/ios/getting-started-ios/migration-v3.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/getting-started/migration-v3.md
/docs/mobile-services/ios/config-ios/configuration.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/configuration/configuration.md
/docs/mobile-services/ios/config-ios/json-config.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/configuration/json-config/json-config.md
/docs/mobile-services/ios/config-ios/json-config-remote.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/configuration/json-config/json-config-remote.md
/docs/mobile-services/ios/config-ios/hit-batching.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/configuration/hit-batching.md
/docs/mobile-services/ios/config-ios/sdk-methods.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/configuration/sdk-methods.md
/docs/mobile-services/ios/config-ios/app-transport-security.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/configuration/app-transport-security.md
/docs/mobile-services/ios/metrics.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/metrics.md
/docs/mobile-services/ios/analytics-ios/analytics-main.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/analytics-main/analytics-main.md
/docs/mobile-services/ios/analytics-ios/states.html,https://github.com/Adobe-Marketing-Cloud/mobile-services/blob/master/docs/ios/analytics-main/states.md
